loss=0.3615, Monte Carlo price=0.1219, predicted=-0.3883
loss=0.2070, Monte Carlo price=0.1195, predicted=-0.2746
loss=0.1183, Monte Carlo price=0.1206, predicted=-0.1723
loss=0.0673, Monte Carlo price=0.1191, predicted=-0.0817
loss=0.0458, Monte Carlo price=0.1241, predicted=-0.0055
loss=0.0333, Monte Carlo price=0.1243, predicted=0.0564
loss=0.0284, Monte Carlo price=0.1206, predicted=0.1029
loss=0.0269, Monte Carlo price=0.1156, predicted=0.1314
loss=0.0275, Monte Carlo price=0.1196, predicted=0.1407
loss=0.0261, Monte Carlo price=0.1200, predicted=0.1404
loss=0.0243, Monte Carlo price=0.1229, predicted=0.1365
loss=0.0220, Monte Carlo price=0.1194, predicted=0.1336
loss=0.0199, Monte Carlo price=0.1184, predicted=0.1331
loss=0.0205, Monte Carlo price=0.1242, predicted=0.1313
loss=0.0175, Monte Carlo price=0.1201, predicted=0.1313
loss=0.0166, Monte Carlo price=0.1244, predicted=0.1253
loss=0.0154, Monte Carlo price=0.1215, predicted=0.1175
loss=0.0127, Monte Carlo price=0.1145, predicted=0.1144
loss=0.0114, Monte Carlo price=0.1144, predicted=0.1208
loss=0.0104, Monte Carlo price=0.1150, predicted=0.1245
loss=0.0103, Monte Carlo price=0.1225, predicted=0.1221
loss=0.0088, Monte Carlo price=0.1174, predicted=0.1222
loss=0.0094, Monte Carlo price=0.1222, predicted=0.1271
loss=0.0079, Monte Carlo price=0.1208, predicted=0.1239
loss=0.0079, Monte Carlo price=0.1165, predicted=0.1267
loss=0.0078, Monte Carlo price=0.1218, predicted=0.1306
loss=0.0065, Monte Carlo price=0.1227, predicted=0.1224
loss=0.0073, Monte Carlo price=0.1181, predicted=0.1318
loss=0.0065, Monte Carlo price=0.1211, predicted=0.1281
loss=0.0062, Monte Carlo price=0.1155, predicted=0.1279
loss=0.0056, Monte Carlo price=0.1153, predicted=0.1223
loss=0.0062, Monte Carlo price=0.1194, predicted=0.1281
loss=0.0056, Monte Carlo price=0.1163, predicted=0.1277
loss=0.0054, Monte Carlo price=0.1236, predicted=0.1277
loss=0.0055, Monte Carlo price=0.1189, predicted=0.1240
loss=0.0045, Monte Carlo price=0.1199, predicted=0.1213
loss=0.0044, Monte Carlo price=0.1220, predicted=0.1236
loss=0.0038, Monte Carlo price=0.1223, predicted=0.1198
loss=0.0035, Monte Carlo price=0.1202, predicted=0.1229
loss=0.0033, Monte Carlo price=0.1202, predicted=0.1218
loss=0.0032, Monte Carlo price=0.1197, predicted=0.1223
loss=0.0028, Monte Carlo price=0.1197, predicted=0.1224
loss=0.0026, Monte Carlo price=0.1171, predicted=0.1200
loss=0.0025, Monte Carlo price=0.1190, predicted=0.1200
loss=0.0023, Monte Carlo price=0.1279, predicted=0.1197
loss=0.0023, Monte Carlo price=0.1207, predicted=0.1216
loss=0.0024, Monte Carlo price=0.1153, predicted=0.1216
loss=0.0021, Monte Carlo price=0.1198, predicted=0.1208
loss=0.0019, Monte Carlo price=0.1201, predicted=0.1197
loss=0.0019, Monte Carlo price=0.1206, predicted=0.1209
loss=0.0019, Monte Carlo price=0.1187, predicted=0.1208
loss=0.0019, Monte Carlo price=0.1184, predicted=0.1220
loss=0.0020, Monte Carlo price=0.1188, predicted=0.1234
loss=0.0017, Monte Carlo price=0.1170, predicted=0.1205
loss=0.0016, Monte Carlo price=0.1215, predicted=0.1198
loss=0.0016, Monte Carlo price=0.1192, predicted=0.1208
loss=0.0016, Monte Carlo price=0.1172, predicted=0.1211
loss=0.0017, Monte Carlo price=0.1160, predicted=0.1233
loss=0.0016, Monte Carlo price=0.1187, predicted=0.1222
