loss=0.0590, Monte Carlo price=0.1194, predicted=0.0067
loss=0.0334, Monte Carlo price=0.1209, predicted=0.0886
loss=0.0289, Monte Carlo price=0.1190, predicted=0.1470
loss=0.0285, Monte Carlo price=0.1165, predicted=0.1537
loss=0.0223, Monte Carlo price=0.1140, predicted=0.1294
loss=0.0203, Monte Carlo price=0.1182, predicted=0.1269
loss=0.0183, Monte Carlo price=0.1215, predicted=0.1334
loss=0.0156, Monte Carlo price=0.1164, predicted=0.1326
loss=0.0132, Monte Carlo price=0.1208, predicted=0.1217
loss=0.0109, Monte Carlo price=0.1198, predicted=0.1290
loss=0.0097, Monte Carlo price=0.1184, predicted=0.1215
loss=0.0086, Monte Carlo price=0.1231, predicted=0.1293
loss=0.0070, Monte Carlo price=0.1192, predicted=0.1205
loss=0.0061, Monte Carlo price=0.1207, predicted=0.1183
loss=0.0052, Monte Carlo price=0.1188, predicted=0.1155
loss=0.0046, Monte Carlo price=0.1132, predicted=0.1175
loss=0.0042, Monte Carlo price=0.1224, predicted=0.1165
loss=0.0037, Monte Carlo price=0.1212, predicted=0.1192
loss=0.0033, Monte Carlo price=0.1205, predicted=0.1177
loss=0.0033, Monte Carlo price=0.1185, predicted=0.1188
loss=0.0029, Monte Carlo price=0.1188, predicted=0.1158
loss=0.0027, Monte Carlo price=0.1208, predicted=0.1169
loss=0.0023, Monte Carlo price=0.1216, predicted=0.1178
loss=0.0022, Monte Carlo price=0.1178, predicted=0.1184
loss=0.0021, Monte Carlo price=0.1207, predicted=0.1208
loss=0.0019, Monte Carlo price=0.1209, predicted=0.1142
loss=0.0018, Monte Carlo price=0.1268, predicted=0.1170
loss=0.0017, Monte Carlo price=0.1184, predicted=0.1155
loss=0.0016, Monte Carlo price=0.1223, predicted=0.1133
loss=0.0016, Monte Carlo price=0.1176, predicted=0.1162
loss=0.0016, Monte Carlo price=0.1191, predicted=0.1164
loss=0.0015, Monte Carlo price=0.1180, predicted=0.1196
loss=0.0014, Monte Carlo price=0.1210, predicted=0.1202
loss=0.0014, Monte Carlo price=0.1192, predicted=0.1184
loss=0.0013, Monte Carlo price=0.1200, predicted=0.1203
loss=0.0013, Monte Carlo price=0.1223, predicted=0.1187
loss=0.0012, Monte Carlo price=0.1186, predicted=0.1218
loss=0.0012, Monte Carlo price=0.1137, predicted=0.1203
loss=0.0011, Monte Carlo price=0.1214, predicted=0.1176
loss=0.0011, Monte Carlo price=0.1223, predicted=0.1202
loss=0.0011, Monte Carlo price=0.1184, predicted=0.1189
loss=0.0010, Monte Carlo price=0.1235, predicted=0.1198
loss=0.0010, Monte Carlo price=0.1201, predicted=0.1189
loss=0.0009, Monte Carlo price=0.1172, predicted=0.1195
loss=0.0009, Monte Carlo price=0.1197, predicted=0.1196
loss=0.0009, Monte Carlo price=0.1221, predicted=0.1185
loss=0.0009, Monte Carlo price=0.1212, predicted=0.1165
loss=0.0009, Monte Carlo price=0.1154, predicted=0.1172
loss=0.0008, Monte Carlo price=0.1195, predicted=0.1180
loss=0.0008, Monte Carlo price=0.1201, predicted=0.1169
loss=0.0008, Monte Carlo price=0.1190, predicted=0.1187
loss=0.0009, Monte Carlo price=0.1211, predicted=0.1203
loss=0.0008, Monte Carlo price=0.1206, predicted=0.1221
loss=0.0009, Monte Carlo price=0.1155, predicted=0.1222
loss=0.0009, Monte Carlo price=0.1203, predicted=0.1217
