loss=0.7215, Monte Carlo price=0.1219, predicted=-0.4017
loss=0.3616, Monte Carlo price=0.1195, predicted=-0.4017
loss=0.2866, Monte Carlo price=0.1206, predicted=-0.4017
loss=0.2767, Monte Carlo price=0.1191, predicted=-0.4017
loss=0.2452, Monte Carlo price=0.1241, predicted=-0.4017
loss=0.2408, Monte Carlo price=0.1243, predicted=-0.4017
loss=0.2217, Monte Carlo price=0.1206, predicted=-0.4017
loss=0.2064, Monte Carlo price=0.1156, predicted=-0.4017
loss=0.1635, Monte Carlo price=0.1196, predicted=-0.4017
loss=0.0741, Monte Carlo price=0.1200, predicted=-0.4017
loss=0.0665, Monte Carlo price=0.1229, predicted=-0.4017
loss=0.0672, Monte Carlo price=0.1194, predicted=-0.4017
loss=0.0537, Monte Carlo price=0.1184, predicted=-0.4017
loss=0.0494, Monte Carlo price=0.1242, predicted=-0.4017
loss=0.0482, Monte Carlo price=0.1201, predicted=-0.4017
loss=0.0449, Monte Carlo price=0.1244, predicted=-0.4017
loss=0.0427, Monte Carlo price=0.1215, predicted=-0.4017
loss=0.0436, Monte Carlo price=0.1145, predicted=-0.4017
loss=0.0424, Monte Carlo price=0.1144, predicted=-0.4017
loss=0.0384, Monte Carlo price=0.1150, predicted=-0.4017
loss=0.0335, Monte Carlo price=0.1225, predicted=-0.4017
loss=0.0339, Monte Carlo price=0.1174, predicted=-0.4017
loss=0.0304, Monte Carlo price=0.1222, predicted=-0.4017
loss=0.0319, Monte Carlo price=0.1208, predicted=-0.4017
loss=0.0295, Monte Carlo price=0.1165, predicted=-0.4017
loss=0.0305, Monte Carlo price=0.1218, predicted=-0.4017
loss=0.0296, Monte Carlo price=0.1227, predicted=-0.4017
loss=0.0291, Monte Carlo price=0.1181, predicted=-0.4017
loss=0.0278, Monte Carlo price=0.1211, predicted=-0.4017
loss=0.0277, Monte Carlo price=0.1155, predicted=-0.4017
loss=0.0258, Monte Carlo price=0.1153, predicted=-0.4017
loss=0.0276, Monte Carlo price=0.1194, predicted=-0.4017
loss=0.0254, Monte Carlo price=0.1163, predicted=-0.4017
loss=0.0257, Monte Carlo price=0.1236, predicted=-0.4017
loss=0.0249, Monte Carlo price=0.1189, predicted=-0.4017
loss=0.0213, Monte Carlo price=0.1199, predicted=-0.4017
loss=0.0229, Monte Carlo price=0.1220, predicted=-0.4017
loss=0.0214, Monte Carlo price=0.1223, predicted=-0.4017
loss=0.0231, Monte Carlo price=0.1202, predicted=-0.4017
loss=0.0225, Monte Carlo price=0.1202, predicted=-0.4017
loss=0.0221, Monte Carlo price=0.1197, predicted=-0.4017
loss=0.0213, Monte Carlo price=0.1197, predicted=-0.4017
loss=0.0204, Monte Carlo price=0.1171, predicted=-0.4017
loss=0.0205, Monte Carlo price=0.1190, predicted=-0.4017
loss=0.0179, Monte Carlo price=0.1279, predicted=-0.4017
loss=0.0195, Monte Carlo price=0.1207, predicted=-0.4017
loss=0.0222, Monte Carlo price=0.1153, predicted=-0.4017
loss=0.0177, Monte Carlo price=0.1198, predicted=-0.4017
loss=0.0194, Monte Carlo price=0.1201, predicted=-0.4017
loss=0.0194, Monte Carlo price=0.1206, predicted=-0.4017
loss=0.0190, Monte Carlo price=0.1187, predicted=-0.4017
loss=0.0188, Monte Carlo price=0.1184, predicted=-0.4017
loss=0.0195, Monte Carlo price=0.1188, predicted=-0.4017
loss=0.0199, Monte Carlo price=0.1170, predicted=-0.4017
loss=0.0209, Monte Carlo price=0.1215, predicted=-0.4017
loss=0.0155, Monte Carlo price=0.1192, predicted=-0.4017
loss=0.0168, Monte Carlo price=0.1172, predicted=-0.4017
