loss=2.3359, Monte Carlo price=0.1194, predicted=0.0069
loss=1.6469, Monte Carlo price=0.1209, predicted=0.0923
loss=1.5459, Monte Carlo price=0.1190, predicted=0.1543
loss=1.6024, Monte Carlo price=0.1165, predicted=0.1604
loss=1.3779, Monte Carlo price=0.1140, predicted=0.1343
loss=1.3351, Monte Carlo price=0.1182, predicted=0.1260
loss=1.3371, Monte Carlo price=0.1215, predicted=0.1281
loss=1.2833, Monte Carlo price=0.1164, predicted=0.1327
loss=1.2202, Monte Carlo price=0.1208, predicted=0.1225
loss=1.1505, Monte Carlo price=0.1198, predicted=0.1286
loss=1.1196, Monte Carlo price=0.1184, predicted=0.1202
loss=1.1261, Monte Carlo price=0.1231, predicted=0.1379
loss=1.0886, Monte Carlo price=0.1192, predicted=0.1227
loss=1.0331, Monte Carlo price=0.1207, predicted=0.1308
loss=1.0126, Monte Carlo price=0.1188, predicted=0.1171
loss=0.9673, Monte Carlo price=0.1132, predicted=0.1195
loss=1.0079, Monte Carlo price=0.1224, predicted=0.1176
loss=0.9846, Monte Carlo price=0.1212, predicted=0.1218
loss=0.9473, Monte Carlo price=0.1205, predicted=0.1203
loss=0.9791, Monte Carlo price=0.1185, predicted=0.1166
loss=0.9608, Monte Carlo price=0.1188, predicted=0.1083
loss=0.9718, Monte Carlo price=0.1208, predicted=0.1121
loss=0.9716, Monte Carlo price=0.1216, predicted=0.1052
loss=0.9265, Monte Carlo price=0.1178, predicted=0.1019
loss=0.9599, Monte Carlo price=0.1207, predicted=0.1103
loss=0.9419, Monte Carlo price=0.1209, predicted=0.1052
loss=0.9524, Monte Carlo price=0.1268, predicted=0.1095
loss=0.9279, Monte Carlo price=0.1184, predicted=0.1118
loss=0.9314, Monte Carlo price=0.1223, predicted=0.1100
loss=0.9161, Monte Carlo price=0.1176, predicted=0.1136
loss=0.9431, Monte Carlo price=0.1191, predicted=0.1146
loss=0.9063, Monte Carlo price=0.1180, predicted=0.1205
loss=0.9196, Monte Carlo price=0.1210, predicted=0.1225
loss=0.9283, Monte Carlo price=0.1192, predicted=0.1085
loss=0.9298, Monte Carlo price=0.1200, predicted=0.1124
loss=0.9320, Monte Carlo price=0.1223, predicted=0.1171
loss=0.8978, Monte Carlo price=0.1186, predicted=0.1186
loss=0.8744, Monte Carlo price=0.1137, predicted=0.1289
loss=0.9432, Monte Carlo price=0.1214, predicted=0.1272
loss=0.9403, Monte Carlo price=0.1223, predicted=0.1329
loss=0.9099, Monte Carlo price=0.1184, predicted=0.1243
loss=0.9816, Monte Carlo price=0.1235, predicted=0.1164
loss=0.8965, Monte Carlo price=0.1201, predicted=0.1189
loss=0.8721, Monte Carlo price=0.1172, predicted=0.1178
loss=0.9004, Monte Carlo price=0.1197, predicted=0.1241
loss=0.9581, Monte Carlo price=0.1221, predicted=0.1250
loss=0.9015, Monte Carlo price=0.1212, predicted=0.1236
loss=0.8744, Monte Carlo price=0.1154, predicted=0.1234
loss=0.9206, Monte Carlo price=0.1195, predicted=0.1200
loss=0.8841, Monte Carlo price=0.1201, predicted=0.1112
loss=0.9465, Monte Carlo price=0.1190, predicted=0.1141
loss=0.9142, Monte Carlo price=0.1211, predicted=0.1276
loss=0.9490, Monte Carlo price=0.1206, predicted=0.1255
loss=0.8847, Monte Carlo price=0.1155, predicted=0.1265
loss=0.9368, Monte Carlo price=0.1203, predicted=0.1293
loss=0.9676, Monte Carlo price=0.1239, predicted=0.1269
loss=0.9159, Monte Carlo price=0.1188, predicted=0.1265
loss=0.9435, Monte Carlo price=0.1202, predicted=0.1310
loss=0.8887, Monte Carlo price=0.1147, predicted=0.1265
loss=0.8915, Monte Carlo price=0.1165, predicted=0.1331
loss=0.9239, Monte Carlo price=0.1203, predicted=0.1312
loss=0.9350, Monte Carlo price=0.1234, predicted=0.1301
loss=0.9649, Monte Carlo price=0.1238, predicted=0.1230
loss=0.9268, Monte Carlo price=0.1208, predicted=0.1315
loss=0.8882, Monte Carlo price=0.1177, predicted=0.1294
loss=0.8931, Monte Carlo price=0.1162, predicted=0.1389
loss=0.8921, Monte Carlo price=0.1135, predicted=0.1331
loss=0.9194, Monte Carlo price=0.1194, predicted=0.1297
loss=0.9420, Monte Carlo price=0.1213, predicted=0.1301
loss=0.8967, Monte Carlo price=0.1199, predicted=0.1222
loss=0.9154, Monte Carlo price=0.1177, predicted=0.1234
loss=0.8999, Monte Carlo price=0.1226, predicted=0.1251
loss=0.8947, Monte Carlo price=0.1191, predicted=0.1267
loss=0.9195, Monte Carlo price=0.1181, predicted=0.1283
loss=0.9190, Monte Carlo price=0.1192, predicted=0.1304
loss=0.9337, Monte Carlo price=0.1242, predicted=0.1242
loss=0.9230, Monte Carlo price=0.1218, predicted=0.1210
loss=0.9722, Monte Carlo price=0.1247, predicted=0.1169
