loss=4.5574, Monte Carlo price=0.1160, predicted=-0.1396
loss=2.6281, Monte Carlo price=0.1185, predicted=-0.0433
loss=1.7538, Monte Carlo price=0.1195, predicted=0.0423
loss=1.5559, Monte Carlo price=0.1155, predicted=0.1006
loss=1.6574, Monte Carlo price=0.1218, predicted=0.1228
loss=1.5957, Monte Carlo price=0.1208, predicted=0.1212
loss=1.5251, Monte Carlo price=0.1200, predicted=0.1068
loss=1.4631, Monte Carlo price=0.1161, predicted=0.0981
loss=1.5513, Monte Carlo price=0.1218, predicted=0.1056
loss=1.3563, Monte Carlo price=0.1168, predicted=0.1030
loss=1.3067, Monte Carlo price=0.1149, predicted=0.1057
loss=1.3445, Monte Carlo price=0.1219, predicted=0.1073
loss=1.1628, Monte Carlo price=0.1190, predicted=0.1055
loss=1.1932, Monte Carlo price=0.1241, predicted=0.1024
loss=1.1096, Monte Carlo price=0.1208, predicted=0.1087
loss=1.0264, Monte Carlo price=0.1172, predicted=0.1090
loss=1.1064, Monte Carlo price=0.1209, predicted=0.1079
loss=1.0041, Monte Carlo price=0.1172, predicted=0.1276
loss=1.0267, Monte Carlo price=0.1200, predicted=0.1136
loss=1.0057, Monte Carlo price=0.1200, predicted=0.1264
loss=0.9845, Monte Carlo price=0.1187, predicted=0.1163
loss=0.9924, Monte Carlo price=0.1196, predicted=0.1254
loss=0.9499, Monte Carlo price=0.1145, predicted=0.1255
loss=0.9570, Monte Carlo price=0.1209, predicted=0.1215
loss=0.9627, Monte Carlo price=0.1203, predicted=0.1162
loss=1.0021, Monte Carlo price=0.1202, predicted=0.1314
loss=0.9248, Monte Carlo price=0.1174, predicted=0.1122
loss=1.0134, Monte Carlo price=0.1221, predicted=0.1158
loss=0.9473, Monte Carlo price=0.1201, predicted=0.1108
loss=0.9688, Monte Carlo price=0.1196, predicted=0.1173
loss=0.9542, Monte Carlo price=0.1180, predicted=0.1097
loss=0.8978, Monte Carlo price=0.1169, predicted=0.1161
loss=0.9556, Monte Carlo price=0.1206, predicted=0.1114
loss=0.9415, Monte Carlo price=0.1190, predicted=0.1121
loss=0.9412, Monte Carlo price=0.1177, predicted=0.1020
loss=0.9168, Monte Carlo price=0.1198, predicted=0.1055
loss=0.9390, Monte Carlo price=0.1196, predicted=0.1088
loss=0.9309, Monte Carlo price=0.1211, predicted=0.0983
loss=0.8582, Monte Carlo price=0.1130, predicted=0.0993
loss=0.8992, Monte Carlo price=0.1156, predicted=0.1050
loss=0.8926, Monte Carlo price=0.1157, predicted=0.0972
loss=0.9434, Monte Carlo price=0.1219, predicted=0.1053
loss=0.9539, Monte Carlo price=0.1211, predicted=0.0951
loss=0.9312, Monte Carlo price=0.1170, predicted=0.1072
loss=0.9529, Monte Carlo price=0.1225, predicted=0.0954
loss=0.9380, Monte Carlo price=0.1225, predicted=0.1014
loss=0.9335, Monte Carlo price=0.1181, predicted=0.1017
loss=0.8997, Monte Carlo price=0.1143, predicted=0.0980
loss=0.9372, Monte Carlo price=0.1188, predicted=0.0990
loss=0.9676, Monte Carlo price=0.1227, predicted=0.1032
loss=0.9528, Monte Carlo price=0.1221, predicted=0.1022
loss=0.8906, Monte Carlo price=0.1210, predicted=0.1109
loss=0.9961, Monte Carlo price=0.1218, predicted=0.0999
loss=0.9605, Monte Carlo price=0.1230, predicted=0.1090
loss=0.9264, Monte Carlo price=0.1218, predicted=0.1030
loss=0.8876, Monte Carlo price=0.1180, predicted=0.1051
loss=0.9557, Monte Carlo price=0.1239, predicted=0.1083
loss=0.9539, Monte Carlo price=0.1251, predicted=0.1014
loss=0.9251, Monte Carlo price=0.1198, predicted=0.1066
loss=0.9242, Monte Carlo price=0.1217, predicted=0.1081
loss=0.8899, Monte Carlo price=0.1175, predicted=0.0970
loss=0.9119, Monte Carlo price=0.1177, predicted=0.1114
loss=0.9203, Monte Carlo price=0.1195, predicted=0.1050
loss=0.9227, Monte Carlo price=0.1200, predicted=0.1140
